year;areakm;uf
1995;7.845,00;Pará
2004;8.870,00;Pará
2003;7.145,00;Pará
2002;7.510,00;Pará
1988;6.990,00;Pará
2005;5.899,00;Pará
2000;6.671,00;Pará
2001;5.237,00;Pará
1996;6.135,00;Pará
1989;5.750,00;Pará
1998;5.829,00;Pará
1999;5.111,00;Pará
1994;4.284,00;Pará
1993;4.284,00;Pará
2006;5.659,00;Pará
1992;3.787,00;Pará
1990;4.890,00;Pará
1997;4.139,00;Pará
2021;5.238,00;Pará
2008;5.607,00;Pará
2007;5.526,00;Pará
2022;4.162,00;Pará
1991;3.780,00;Pará
2020;4.899,00;Pará
2019;4.172,00;Pará
2023;3.272,00;Pará
2016;2.992,00;Pará
2018;2.744,00;Pará
2009;4.281,00;Pará
2010;3.770,00;Pará
2017;2.433,00;Pará
2011;3.008,00;Pará
2015;2.153,00;Pará
2013;2.346,00;Pará
2014;1.887,00;Pará
2012;1.741,00;Pará
1995;10.391,00;Mato Grosso
2004;11.814,00;Mato Grosso
2003;10.405,00;Mato Grosso
2002;7.892,00;Mato Grosso
1988;5.140,00;Mato Grosso
2005;7.145,00;Mato Grosso
2000;6.369,00;Mato Grosso
2001;7.703,00;Mato Grosso
1996;6.543,00;Mato Grosso
1989;5.960,00;Mato Grosso
1998;6.466,00;Mato Grosso
1999;6.963,00;Mato Grosso
1994;6.220,00;Mato Grosso
1993;6.220,00;Mato Grosso
2006;4.333,00;Mato Grosso
1992;4.674,00;Mato Grosso
1990;4.020,00;Mato Grosso
1997;5.271,00;Mato Grosso
2021;2.213,00;Mato Grosso
2008;3.258,00;Mato Grosso
2007;2.678,00;Mato Grosso
2022;1.927,00;Mato Grosso
1991;2.840,00;Mato Grosso
2020;1.779,00;Mato Grosso
2019;1.702,00;Mato Grosso
2023;2.086,00;Mato Grosso
2016;1.489,00;Mato Grosso
2018;1.490,00;Mato Grosso
2009;1.049,00;Mato Grosso
2010;871,00;Mato Grosso
2017;1.561,00;Mato Grosso
2011;1.120,00;Mato Grosso
2015;1.601,00;Mato Grosso
2013;1.139,00;Mato Grosso
2014;1.075,00;Mato Grosso
2012;757,00;Mato Grosso
1995;4.730,00;Rondônia
2004;3.858,00;Rondônia
2003;3.597,00;Rondônia
2002;3.099,00;Rondônia
1988;2.340,00;Rondônia
2005;3.244,00;Rondônia
2000;2.465,00;Rondônia
2001;2.673,00;Rondônia
1996;2.432,00;Rondônia
1989;1.430,00;Rondônia
1998;2.041,00;Rondônia
1999;2.358,00;Rondônia
1994;2.595,00;Rondônia
1993;2.595,00;Rondônia
2006;2.049,00;Rondônia
1992;2.265,00;Rondônia
1990;1.670,00;Rondônia
1997;1.986,00;Rondônia
2021;1.673,00;Rondônia
2008;1.136,00;Rondônia
2007;1.611,00;Rondônia
2022;1.480,00;Rondônia
1991;1.110,00;Rondônia
2020;1.273,00;Rondônia
2019;1.257,00;Rondônia
2023;873,00;Rondônia
2016;1.376,00;Rondônia
2018;1.316,00;Rondônia
2009;482,00;Rondônia
2010;435,00;Rondônia
2017;1.243,00;Rondônia
2011;865,00;Rondônia
2015;1.030,00;Rondônia
2013;932,00;Rondônia
2014;684,00;Rondônia
2012;773,00;Rondônia
1995;2.114,00;Amazonas
2004;1.232,00;Amazonas
2003;1.558,00;Amazonas
2002;885,00;Amazonas
1988;1.510,00;Amazonas
2005;775,00;Amazonas
2000;612,00;Amazonas
2001;634,00;Amazonas
1996;1.023,00;Amazonas
1989;1.180,00;Amazonas
1998;670,00;Amazonas
1999;720,00;Amazonas
1994;370,00;Amazonas
1993;370,00;Amazonas
2006;788,00;Amazonas
1992;799,00;Amazonas
1990;520,00;Amazonas
1997;589,00;Amazonas
2021;2.306,00;Amazonas
2008;604,00;Amazonas
2007;610,00;Amazonas
2022;2.594,00;Amazonas
1991;980,00;Amazonas
2020;1.512,00;Amazonas
2019;1.434,00;Amazonas
2023;1.553,00;Amazonas
2016;1.129,00;Amazonas
2018;1.045,00;Amazonas
2009;405,00;Amazonas
2010;595,00;Amazonas
2017;1.001,00;Amazonas
2011;502,00;Amazonas
2015;712,00;Amazonas
